Абрамова Алиса Артёмовна, 1997 года рождения, 1 курс, 7 группа
Новикова Мария Ивановна, 2005 года рождения, 4 курс, 7 группа
Овчинникова Жасмин Руслановна, 1999 года рождения, 4 курс, 7 группа
Павлов Артём Александрович, 1994 года рождения, 4 курс, 4 группа
Павлова Анастасия Макаровна, 1997 года рождения, 4 курс, 7 группа
Панов Кирилл Антонович, 1998 года рождения, 4 курс, 3 группа
Парамонов Павел Иванович, 1999 года рождения, 4 курс, 4 группа
Петрова Ксения Дмитриевна, 2004 года рождения, 4 курс, 9 группа
Петровская Александра Ильинична, 2006 года рождения, 4 курс, 9 группа
Петухов Лев Степанович, 2006 года рождения, 4 курс, 3 группа
Пименова Лидия Данильевна, 1992 года рождения, 4 курс, 4 группа
Пирогов Сергей Денисович, 1995 года рождения, 4 курс, 9 группа
Пирогова Софья Данииловна, 2005 года рождения, 4 курс, 9 группа
Платонов Максим Платонович, 1996 года рождения, 4 курс, 7 группа
Плотников Демид Семёнович, 2000 года рождения, 4 курс, 6 группа
Покровская Алиса Дмитриевна, 2001 года рождения, 4 курс, 7 группа
Потапов Егор Адольфович, 1994 года рождения, 4 курс, 8 группа
Родин Никита Матвеевич, 2003 года рождения, 4 курс, 9 группа
Родионов Григорий Никитич, 1998 года рождения, 4 курс, 4 группа
Руднев Платон Михайлович, 1992 года рождения, 4 курс, 5 группа
Руднева Софья Михайловна, 2009 года рождения, 4 курс, 9 группа
Самсонов Тимофей Филиппович, 1997 года рождения, 4 курс, 3 группа
Сахаров Богдан Фёдорович, 1994 года рождения, 4 курс, 1 группа
Селиверстов Вилен Семенович, 2007 года рождения, 4 курс, 1 группа
Сидорова Ева Глебовна, 2003 года рождения, 4 курс, 5 группа
Симонова Арина Львовна, 2009 года рождения, 4 курс, 6 группа
Смирнов Владимир Глебович, 1999 года рождения, 4 курс, 2 группа
Смирнова Элина Максимовна, 1997 года рождения, 4 курс, 1 группа
Соколова Арина Даниловна, 2002 года рождения, 4 курс, 6 группа
Соколова Юлия Владимировна, 2005 года рождения, 4 курс, 2 группа
Соловьёв Ростислав Еремеевич, 1994 года рождения, 4 курс, 8 группа
Сомов Денис Артёмович, 2003 года рождения, 4 курс, 7 группа
Сорокина София Мироновна, 2005 года рождения, 4 курс, 9 группа
Степанов Лев Александрович, 2004 года рождения, 4 курс, 1 группа
Тарасов Даниэль Кириллович, 2010 года рождения, 4 курс, 2 группа
Тарасов Савелий Артурович, 1994 года рождения, 4 курс, 8 группа
Терентьев Иван Николаевич, 1995 года рождения, 4 курс, 7 группа
Туров Максимилиан Вениаминович, 2000 года рождения, 4 курс, 1 группа
Ульянов Пётр Тимофеевич, 2005 года рождения, 4 курс, 2 группа
Ушаков Максим Вячеславович, 1991 года рождения, 4 курс, 8 группа
Фомичев Михаил Максимович, 2008 года рождения, 4 курс, 2 группа
Фролов Глеб Тимофеевич, 2000 года рождения, 4 курс, 2 группа
Фролова Евгения Серапионовна, 2002 года рождения, 4 курс, 3 группа
Фёдорова Дания Кирилловна, 1993 года рождения, 4 курс, 4 группа
Хохлова Виктория Ильинична, 2002 года рождения, 4 курс, 5 группа
Шубин Вениамин Леонидович, 2004 года рождения, 4 курс, 3 группа
Шубин Тимур Саввич, 2007 года рождения, 4 курс, 8 группа
Яковлева Мария Михайловна, 1998 года рождения, 4 курс, 3 группа
Александрова Анна Авдеевна, 2001 года рождения, 5 курс, 2 группа
Афанасьев Всеволод Дамирович, 2007 года рождения, 5 курс, 3 группа
Баженова Майя Александровна, 2009 года рождения, 5 курс, 4 группа
Большакова Милана Николаевна, 2000 года рождения, 5 курс, 9 группа
Бочаров Марк Демидович, 2008 года рождения, 5 курс, 3 группа
Бурова Милана Данииловна, 1996 года рождения, 5 курс, 4 группа
Быкова Регина Владимировна, 1998 года рождения, 5 курс, 2 группа
Греков Никита Семёнович, 2004 года рождения, 5 курс, 1 группа
Гришин Константин Филиппович, 1991 года рождения, 5 курс, 1 группа
Евсеев Орест Мэлсович, 2009 года рождения, 5 курс, 5 группа
Егорова Алия Константиновна, 1997 года рождения, 5 курс, 3 группа
Ефимов Тимофей Романович, 2003 года рождения, 5 курс, 8 группа
Зиновьева Оксана Альвиановна, 2005 года рождения, 5 курс, 8 группа
Зотов Александр Григорьевич, 2009 года рождения, 5 курс, 5 группа
Иванов Денис Даниилович, 2007 года рождения, 5 курс, 8 группа
Иванова София Игоревна, 1996 года рождения, 5 курс, 1 группа
Князев Степан Геннадиевич, 1998 года рождения, 5 курс, 7 группа
Комарова Вера Прокловна, 2002 года рождения, 5 курс, 1 группа
Коновалов Болеслав Рубенович, 2004 года рождения, 5 курс, 8 группа
Коровин Андрей Елисеевич, 1993 года рождения, 5 курс, 4 группа
Костин Арсений Павлович, 1995 года рождения, 5 курс, 3 группа
Краснова Дана Данииловна, 1993 года рождения, 5 курс, 8 группа
Круглова Виктория Гордеевна, 1990 года рождения, 5 курс, 8 группа
Кузнецов Давид Тимофеевич, 2002 года рождения, 5 курс, 5 группа
Лаврова Евангелина Алексеевна, 2003 года рождения, 5 курс, 3 группа
Лазарева Мира Кирилловна, 2006 года рождения, 5 курс, 2 группа
Макаров Герман Макарович, 2004 года рождения, 5 курс, 6 группа
Марков Леонид Романович, 2004 года рождения, 5 курс, 10 группа
Маркова Богдана Лаврентьевна, 2001 года рождения, 5 курс, 5 группа
Матвеев Савелий Макарович, 2009 года рождения, 5 курс, 9 группа
Медведев Алексей Маркович, 1998 года рождения, 5 курс, 5 группа
Медведева Кристина Михайловна, 2008 года рождения, 5 курс, 7 группа
Мельникова Полина Ильинична, 2000 года рождения, 5 курс, 9 группа
Митрофанова Милана Адамовна, 2008 года рождения, 5 курс, 2 группа
Михеев Максим Михайлович, 1998 года рождения, 5 курс, 4 группа
Морозов Руслан Даниилович, 1997 года рождения, 5 курс, 7 группа
Назаров Александр Русланович, 2006 года рождения, 5 курс, 9 группа
Никонов Вячеслав Максимович, 2007 года рождения, 5 курс, 7 группа
Павлов Егор Алексеевич, 1993 года рождения, 5 курс, 10 группа
Павлов Максим Демидович, 1998 года рождения, 5 курс, 7 группа
Пантелеева София Александровна, 2001 года рождения, 5 курс, 10 группа
Родионова Радмила Ефимовна, 2004 года рождения, 5 курс, 8 группа
Рыбаков Владислав Тимурович, 1992 года рождения, 5 курс, 7 группа
Селиванова Юлия Сергеевна, 2009 года рождения, 5 курс, 2 группа
Семенов Фёдор Александрович, 2003 года рождения, 5 курс, 7 группа
Серебряков Михаил Николаевич, 2006 года рождения, 5 курс, 6 группа
Скворцова Елизавета Максимовна, 2009 года рождения, 5 курс, 6 группа
Смирнова Анна Артуровна, 1994 года рождения, 5 курс, 8 группа
Смирнова Кира Ярославовна, 1997 года рождения, 5 курс, 1 группа
Соколов Артём Денисович, 1993 года рождения, 5 курс, 3 группа
Соколов Владимир Сергеевич, 2001 года рождения, 5 курс, 9 группа
Соколова Екатерина Владимировна, 1995 года рождения, 5 курс, 8 группа
Токарева Ева Максимовна, 1993 года рождения, 5 курс, 5 группа
Троицкая Диана Тимофеевна, 2004 года рождения, 5 курс, 1 группа
Трофимова Вероника Евгеньевна, 2006 года рождения, 5 курс, 5 группа
Фокина Алиса Данииловна, 1990 года рождения, 5 курс, 6 группа
Хомякова София Артёмовна, 2005 года рождения, 5 курс, 8 группа
Юдина Адель Фроловна, 1995 года рождения, 5 курс, 4 группа
Средняя оценка в группе номер 1, 1 курса, составила 3.3666666666666667 баллов
Средняя оценка в группе номер 2, 1 курса, составила 3.0666666666666673 баллов
Средняя оценка в группе номер 3, 1 курса, составила 3.6 баллов
Средняя оценка в группе номер 4, 1 курса, составила 3.6285714285714286 баллов
Средняя оценка в группе номер 5, 1 курса, составила 3.4200000000000004 баллов
Средняя оценка в группе номер 6, 1 курса, составила 3.44 баллов
Средняя оценка в группе номер 7, 1 курса, составила 3.5599999999999996 баллов
Средняя оценка в группе номер 8, 1 курса, составила 3.425 баллов
Средняя оценка в группе номер 9, 1 курса, составила 3.233333333333333 баллов
Средняя оценка в группе номер 10, 1 курса, составила 3.5 баллов
Средняя оценка в группе номер 1, 2 курса, составила 3.533333333333333 баллов
Средняя оценка в группе номер 2, 2 курса, составила 3.4285714285714293 баллов
Средняя оценка в группе номер 3, 2 курса, составила 3.5714285714285707 баллов
Средняя оценка в группе номер 4, 2 курса, составила 3.7 баллов
Средняя оценка в группе номер 5, 2 курса, составила 3.5000000000000004 баллов
Средняя оценка в группе номер 6, 2 курса, составила 3.5294117647058822 баллов
Средняя оценка в группе номер 7, 2 курса, составила 3.6000000000000005 баллов
Средняя оценка в группе номер 8, 2 курса, составила 3.4874999999999994 баллов
Средняя оценка в группе номер 9, 2 курса, составила 3.5818181818181816 баллов
Средняя оценка в группе номер 10, 2 курса, составила 3.914285714285714 баллов
Средняя оценка в группе номер 1, 3 курса, составила 3.6799999999999997 баллов
Средняя оценка в группе номер 2, 3 курса, составила 3.6374999999999993 баллов
Средняя оценка в группе номер 3, 3 курса, составила 3.7692307692307696 баллов
Средняя оценка в группе номер 4, 3 курса, составила 3.3294117647058825 баллов
Средняя оценка в группе номер 5, 3 курса, составила 3.766666666666667 баллов
Средняя оценка в группе номер 6, 3 курса, составила 3.7285714285714286 баллов
Средняя оценка в группе номер 7, 3 курса, составила 3.3285714285714287 баллов
Средняя оценка в группе номер 8, 3 курса, составила 3.583333333333334 баллов
Средняя оценка в группе номер 9, 3 курса, составила 3.4200000000000004 баллов
Средняя оценка в группе номер 10, 3 курса, составила 3.5 баллов
Средняя оценка в группе номер 1, 4 курса, составила 3.4 баллов
Средняя оценка в группе номер 2, 4 курса, составила 3.5818181818181816 баллов
Средняя оценка в группе номер 3, 4 курса, составила 3.52 баллов
Средняя оценка в группе номер 4, 4 курса, составила 3.6 баллов
Средняя оценка в группе номер 5, 4 курса, составила 3.4599999999999995 баллов
Средняя оценка в группе номер 6, 4 курса, составила 3.4461538461538463 баллов
Средняя оценка в группе номер 7, 4 курса, составила 3.4285714285714293 баллов
Средняя оценка в группе номер 8, 4 курса, составила 3.5999999999999996 баллов
Средняя оценка в группе номер 9, 4 курса, составила 3.413333333333333 баллов
Средняя оценка в группе номер 10, 4 курса, составила 3.7 баллов
Средняя оценка в группе номер 1, 5 курса, составила 3.5 баллов
Средняя оценка в группе номер 2, 5 курса, составила 3.7600000000000002 баллов
Средняя оценка в группе номер 3, 5 курса, составила 3.766666666666666 баллов
Средняя оценка в группе номер 4, 5 курса, составила 3.6399999999999997 баллов
Средняя оценка в группе номер 5, 5 курса, составила 3.5142857142857147 баллов
Средняя оценка в группе номер 6, 5 курса, составила 3.3 баллов
Средняя оценка в группе номер 7, 5 курса, составила 3.571428571428572 баллов
Средняя оценка в группе номер 8, 5 курса, составила 3.54 баллов
Средняя оценка в группе номер 9, 5 курса, составила 3.3600000000000003 баллов
Средняя оценка в группе номер 10, 5 курса, составила 3.266666666666667 баллов
Старший студент среди всех: Андреева Мария Фёдоровна, 1990 года рождения
Старший студент среди всех: Гришина Рая Тихоновна, 1990 года рождения
Старший студент среди всех: Соколов Андрей Владимирович, 1990 года рождения
Старший студент среди всех: Дьячков Илларион Юлианович, 1990 года рождения
Старший студент среди всех: Кириллова Силика Егоровна, 1990 года рождения
Старший студент среди всех: Кулешов Роман Иванович, 1990 года рождения
Старший студент среди всех: Соколова Яна Никитична, 1990 года рождения
Старший студент среди всех: Субботина Марьяна Александровна, 1990 года рождения
Старший студент среди всех: Осипова Гелла Тихоновна, 1990 года рождения
Старший студент среди всех: Панова Ева Алексеевна, 1990 года рождения
Старший студент среди всех: Хохлов Владислав Вадимович, 1990 года рождения
Старший студент среди всех: Головин Максим Игоревич, 1990 года рождения
Старший студент среди всех: Круглова Виктория Гордеевна, 1990 года рождения
Старший студент среди всех: Фокина Алиса Данииловна, 1990 года рождения
Самый младший студент среди всех: Зубов Роман Юрьевич, 2010 года рождения
Самый младший студент среди всех: Трофимова Виктория Валерьевна, 2010 года рождения
Самый младший студент среди всех: Баранова Августина Улебовна, 2010 года рождения
Самый младший студент среди всех: Бессонова Алиса Марковна, 2010 года рождения
Самый младший студент среди всех: Волкова Ульяна Яковлевна, 2010 года рождения
Самый младший студент среди всех: Коновалов Даниил Ибрагимович, 2010 года рождения
Самый младший студент среди всех: Макарова Наталья Николаевна, 2010 года рождения
Самый младший студент среди всех: Минина Анна Вячеславовна, 2010 года рождения
Самый младший студент среди всех: Тарасов Даниэль Кириллович, 2010 года рождения
Лидер по успеваемости в 1 группе,1 курса: Калашников Иван Христофорович, средний балл 4.0
Лидер по успеваемости в 2 группе,1 курса: Андреев Овидий Тимурович, средний балл 3.6
Лидер по успеваемости в 3 группе,1 курса: Беляева Нега Михайловна, средний балл 4.0
Лидер по успеваемости в 3 группе,1 курса: Никитин Флор Кимович, средний балл 4.0
Лидер по успеваемости в 4 группе,1 курса: Волкова Милана Игоревна, средний балл 4.0
Лидер по успеваемости в 4 группе,1 курса: Ершова Екатерина Максимовна, средний балл 4.0
Лидер по успеваемости в 5 группе,1 курса: Чернова Мишель Альбертовна, средний балл 4.0
Лидер по успеваемости в 6 группе,1 курса: Ефимова Милана Владиславовна, средний балл 3.6
Лидер по успеваемости в 6 группе,1 курса: Зайцев Егор Артемович, средний балл 3.6
Лидер по успеваемости в 6 группе,1 курса: Зуева Ксения Георгиевна, средний балл 3.6
Лидер по успеваемости в 7 группе,1 курса: Королев Иван Алексеевич, средний балл 4.2
Лидер по успеваемости в 8 группе,1 курса: Андреева Мария Фёдоровна, средний балл 3.8
Лидер по успеваемости в 8 группе,1 курса: Шишкина Ева Тихоновна, средний балл 3.8
Лидер по успеваемости в 9 группе,1 курса: Воронова Софья Данииловна, средний балл 3.4
Лидер по успеваемости в 9 группе,1 курса: Жуков Артём Дмитриевич, средний балл 3.4
Лидер по успеваемости в 9 группе,1 курса: Ковалева Диана Павловна, средний балл 3.4
Лидер по успеваемости в 9 группе,1 курса: Соколов Андрей Владимирович, средний балл 3.4
Лидер по успеваемости в 10 группе,1 курса: Лебедева Варвара Робертовна, средний балл 3.6
Лидер по успеваемости в 10 группе,1 курса: Трофимова Виктория Валерьевна, средний балл 3.6
Лидер по успеваемости в 10 группе,1 курса: Чижова Стефания Дамировна, средний балл 3.6
Лидер по успеваемости в 1 группе,2 курса: Русакова Астра Федотовна, средний балл 4.0
Лидер по успеваемости в 1 группе,2 курса: Филатов Вадим Георгиевич, средний балл 4.0
Лидер по успеваемости в 2 группе,2 курса: Щербаков Дмитрий Романович, средний балл 4.2
Лидер по успеваемости в 3 группе,2 курса: Кузьмина Сафия Марковна, средний балл 4.6
Лидер по успеваемости в 3 группе,2 курса: Сафонова Видана Григорьевна, средний балл 4.6
Лидер по успеваемости в 4 группе,2 курса: Демин Юрий Петрович, средний балл 4.2
Лидер по успеваемости в 4 группе,2 курса: Тихонова Дарина Ильинична, средний балл 4.2
Лидер по успеваемости в 5 группе,2 курса: Никольский Руслан Артёмович, средний балл 4.4
Лидер по успеваемости в 5 группе,2 курса: Шаповалов Тимур Ильич, средний балл 4.4
Лидер по успеваемости в 6 группе,2 курса: Шевелев Александр Артёмович, средний балл 4.0
Лидер по успеваемости в 7 группе,2 курса: Муравьев Никита Максимович, средний балл 4.4
Лидер по успеваемости в 8 группе,2 курса: Антонова Элина Антоновна, средний балл 4.2
Лидер по успеваемости в 9 группе,2 курса: Смирнова Анастасия Марсельевна, средний балл 4.2
Лидер по успеваемости в 10 группе,2 курса: Коновалова Софья Кирилловна, средний балл 4.4
Лидер по успеваемости в 10 группе,2 курса: Семенова Полина Романовна, средний балл 4.4
Лидер по успеваемости в 1 группе,3 курса: Кузьмина Мадина Руслановна, средний балл 4.4
Лидер по успеваемости в 2 группе,3 курса: Иванов Дмитрий Иванович, средний балл 4.4
Лидер по успеваемости в 3 группе,3 курса: Минина Анна Вячеславовна, средний балл 4.2
Лидер по успеваемости в 4 группе,3 курса: Мартынов Всеволод Артурович, средний балл 4.4
Лидер по успеваемости в 5 группе,3 курса: Фомин Фёдор Константинович, средний балл 4.8
Лидер по успеваемости в 6 группе,3 курса: Леонов Григорий Иванович, средний балл 4.4
Лидер по успеваемости в 7 группе,3 курса: Булгакова Диана Александровна, средний балл 3.8
Лидер по успеваемости в 7 группе,3 курса: Семенова Алина Леонидовна, средний балл 3.8
Лидер по успеваемости в 8 группе,3 курса: Макарова Наталья Николаевна, средний балл 4.4
Лидер по успеваемости в 9 группе,3 курса: Казакова Елизавета Николаевна, средний балл 4.6
Лидер по успеваемости в 10 группе,3 курса: Капустин Андрей Валерьянович, средний балл 4.4
Лидер по успеваемости в 1 группе,4 курса: Комиссаров Витольд Денисович, средний балл 4.4
Лидер по успеваемости в 2 группе,4 курса: Фролов Глеб Тимофеевич, средний балл 4.2
Лидер по успеваемости в 3 группе,4 курса: Самсонов Тимофей Филиппович, средний балл 4.2
Лидер по успеваемости в 4 группе,4 курса: Павлов Артём Александрович, средний балл 4.4
Лидер по успеваемости в 5 группе,4 курса: Егоров Марк Анатольевич, средний балл 4.0
Лидер по успеваемости в 6 группе,4 курса: Зуева Зинаида Пётровна, средний балл 4.0
Лидер по успеваемости в 7 группе,4 курса: Анисимов Семён Артемьевич, средний балл 4.0
Лидер по успеваемости в 8 группе,4 курса: Шубин Тимур Саввич, средний балл 4.6
Лидер по успеваемости в 9 группе,4 курса: Герасимов Игнатий Даниилович, средний балл 3.6
Лидер по успеваемости в 9 группе,4 курса: Иванов Кирилл Григорьевич, средний балл 3.6
Лидер по успеваемости в 9 группе,4 курса: Кудряшов Тимофей Владленович, средний балл 3.6
Лидер по успеваемости в 9 группе,4 курса: Петровская Александра Ильинична, средний балл 3.6
Лидер по успеваемости в 9 группе,4 курса: Пирогов Сергей Денисович, средний балл 3.6
Лидер по успеваемости в 9 группе,4 курса: Пирогова Софья Данииловна, средний балл 3.6
Лидер по успеваемости в 10 группе,4 курса: Казаков Даниил Матвеевич, средний балл 3.8
Лидер по успеваемости в 1 группе,5 курса: Иванова София Игоревна, средний балл 3.8
Лидер по успеваемости в 1 группе,5 курса: Троицкая Диана Тимофеевна, средний балл 3.8
Лидер по успеваемости в 2 группе,5 курса: Александрова Анна Авдеевна, средний балл 4.2
Лидер по успеваемости в 3 группе,5 курса: Соколов Артём Денисович, средний балл 4.2
Лидер по успеваемости в 4 группе,5 курса: Баженова Майя Александровна, средний балл 4.0
Лидер по успеваемости в 5 группе,5 курса: Зотов Александр Григорьевич, средний балл 3.8
Лидер по успеваемости в 5 группе,5 курса: Медведев Алексей Маркович, средний балл 3.8
Лидер по успеваемости в 6 группе,5 курса: Серебряков Михаил Николаевич, средний балл 3.6
Лидер по успеваемости в 7 группе,5 курса: Морозов Руслан Даниилович, средний балл 4.4
Лидер по успеваемости в 8 группе,5 курса: Коновалов Болеслав Рубенович, средний балл 4.0
Лидер по успеваемости в 8 группе,5 курса: Круглова Виктория Гордеевна, средний балл 4.0
Лидер по успеваемости в 9 группе,5 курса: Матвеев Савелий Макарович, средний балл 3.6
Лидер по успеваемости в 9 группе,5 курса: Назаров Александр Русланович, средний балл 3.6
Лидер по успеваемости в 10 группе,5 курса: Павлов Егор Алексеевич, средний балл 3.4
Лидер по успеваемости в 10 группе,5 курса: Пантелеева София Александровна, средний балл 3.4
